product_name,brands,target,image_url,nutriscore_grade
King Coconut Water,Leader Price,beverages,https://images.openfoodfacts.org/images/products/871/821/572/2489/front_fr.11.400.jpg,b
Pear Marple & Ginger,M&S,beverages,https://images.openfoodfacts.org/images/products/000/000/056/8753/front_fr.4.400.jpg,d
"Innocent Defence, Mango, Kürbis, Echinacea Und Lei. ..",Innocent,beverages,,e
Marina Ananas,Marina,beverages,https://images.openfoodfacts.org/images/products/380/007/920/4012/front_fr.4.400.jpg,e
Vitago pêche,Vitago,beverages,https://images.openfoodfacts.org/images/products/531/999/022/7317/front_fr.37.400.jpg,d
Cacao du gouter,Quai sud,beverages,https://images.openfoodfacts.org/images/products/366/205/100/3996/front_fr.4.400.jpg,e
Hagebuttentee,"Aldi, Bio",beverages,https://images.openfoodfacts.org/images/products/000/002/213/3854/front_fr.12.400.jpg,b
SanThè pesca,Sant'Anna,beverages,https://images.openfoodfacts.org/images/products/802/014/111/4000/front_it.18.400.jpg,e
Ace Drink,Wesergold,beverages,https://images.openfoodfacts.org/images/products/410/006/001/3760/front_de.4.400.jpg,e
Denner Apfelsaft,Denner,beverages,,c
GINGER ALE BIO - LA CO-LAB,,beverages,https://images.openfoodfacts.org/images/products/074/511/464/0857/front_fr.3.400.jpg,e
Fairtrade Michel Body Guard De Jus de Fruits,Michel,beverages,https://images.openfoodfacts.org/images/products/761/009/716/0254/front_fr.27.400.jpg,e
Crown coffee,,beverages,https://images.openfoodfacts.org/images/products/490/217/902/0581/front_fr.8.400.jpg,b
REFRESCO FRESA SIMON LIFE,don simon,beverages,https://images.openfoodfacts.org/images/products/841/026/164/1409/front_es.27.400.jpg,e
Tisane verveine,Dammann Frères,beverages,https://images.openfoodfacts.org/images/products/325/992/005/6803/front_fr.3.400.jpg,unknown
Douceur,Tropicana,beverages,,c
Blonde,St. Feuillien,beverages,https://images.openfoodfacts.org/images/products/541/213/810/7516/front_fr.7.400.jpg,unknown
Sirop limo goût Caramel,A'ROM,beverages,https://images.openfoodfacts.org/images/products/370/038/970/1907/front_fr.3.400.jpg,e
Lemon jus,,beverages,https://images.openfoodfacts.org/images/products/528/500/129/4008/front_fr.3.400.jpg,b
"Sun tea grenade & framboise acidulée , 1 pack de 50 gr de 20 sachets pyramid",Lipton,beverages,,b
Cocktail de 6 jus de fruits SAUTTER,Sautter,beverages,,e
Volvic Juiced Berry Medley,Volvic,beverages,,c
The vert citron gingembre,Menau,beverages,https://images.openfoodfacts.org/images/products/327/449/097/6238/front_fr.37.400.jpg,d
Cafe,Starbucks,beverages,https://images.openfoodfacts.org/images/products/076/211/193/9920/front_fr.4.400.jpg,c
CHAI DES BIGNES,,beverages,https://images.openfoodfacts.org/images/products/366/066/895/4236/front_fr.3.400.jpg,unknown
Pur jus poire bio,Hémisphère sud,beverages,https://images.openfoodfacts.org/images/products/327/449/097/1325/front_fr.14.400.jpg,d
Sirop hiver,Pranarom,beverages,https://images.openfoodfacts.org/images/products/542/000/851/1813/front_fr.3.400.jpg,e
Le pur jus JOKER orange clémentine,joker,beverages,https://images.openfoodfacts.org/images/products/312/334/901/3504/front_fr.18.400.jpg,e
Auvergnat orange,Auvergnat,beverages,https://images.openfoodfacts.org/images/products/376/013/382/3361/front_fr.4.400.jpg,d
Eau détox,La Fraîcherie,beverages,https://images.openfoodfacts.org/images/products/376/003/657/0751/front_fr.11.400.jpg,b
Jus de carotte et de pomme,Saclà,beverages,https://images.openfoodfacts.org/images/products/800/106/002/6360/front_fr.4.400.jpg,b
Soupe De Poireau Et Pomme De Terre,La Grande Epicerie De Paris,beverages,https://images.openfoodfacts.org/images/products/334/604/141/6378/front_fr.4.400.jpg,d
Thé glacé thé vert et jasmin,Ethiquable,beverages,https://images.openfoodfacts.org/images/products/376/009/172/8364/front_fr.23.400.jpg,c
Acqua Panna,"Nestlé, Acqua Panna, San Pellegrino",beverages,https://images.openfoodfacts.org/images/products/800/227/001/5526/front_fr.4.400.jpg,b
Merry mango,Special‘T by Nestlé,beverages,https://images.openfoodfacts.org/images/products/761/328/737/9023/front_fr.3.400.jpg,unknown
Eau de coco Vita Coco,Vita Coco,beverages,https://images.openfoodfacts.org/images/products/506/023/281/0322/front_fr.4.400.jpg,c
Weight Care Maaltijdshake Haver Aardbei Banaan,,beverages,https://images.openfoodfacts.org/images/products/541/006/303/1210/front_fr.11.400.jpg,e
Ananas citron vert gingembre,Vergy!,beverages,https://images.openfoodfacts.org/images/products/370/065/640/2940/front_fr.13.400.jpg,e
Instant Milk Tea powder,,beverages,https://images.openfoodfacts.org/images/products/695/736/420/3971/front_fr.3.400.jpg,c
Prima Orange Juice,Prima,beverages,https://images.openfoodfacts.org/images/products/529/004/000/3627/front_fr.16.400.jpg,c
Gingembre et Kiwi,Kiwini,beverages,,c
Boisson au thé pêche - 6 x 25 cl UNITÉ,"Marque Repère, Fresh Tea",beverages,https://images.openfoodfacts.org/images/products/356/470/070/2697/front_fr.12.400.jpg,d
Yerba maté infusion citron,GINGEUR,beverages,https://images.openfoodfacts.org/images/products/377/000/700/2006/front_fr.14.400.jpg,c
Soupe Detox Legumes Verts - 300 GR - Nature System,Naturesystem,beverages,,e
